PLAYER,TEAM,POSITION,AGE,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,GP,MPG,ORPM,DRPM,RPM,WINS_RPM,PIE,PACE,W,SALARY_MILLIONS,SALARY_CLASS
Russell Westbrook,OKC,PG,0.4285714285714286,0.9902912621359222,1.0,0.5666666666666667,0.6097560975609757,0.7200000000000001,0.343,0.7938144329896908,0.9021739130434782,0.459,0.5439999999999999,0.9565217391304349,0.9541284403669724,0.845,0.425,0.9473684210526315,0.8359375,0.9285714285714286,0.8,0.15384615384615385,0.9473684210526316,0.5897435897435898,1.0,0.9874999999999999,0.910112359550562,0.9547008547008548,0.34708249496981897,0.8568575233022637,0.8641758241758242,1.0,0.6626506024096384,0.696969696969697,0.8558034270934367,2
James Harden,HOU,PG,0.38095238095238093,0.8058252427184467,0.7801724137931035,0.5866666666666667,0.7804878048780489,0.9300000000000002,0.34700000000000003,0.5257731958762887,0.5108695652173911,0.53,0.6,1.0,0.9999999999999999,0.847,0.3,0.7368421052631579,0.6328125,1.0,0.75,0.1923076923076923,1.0,0.6923076923076924,0.9203821656050956,0.9874999999999999,0.960674157303371,0.9239316239316239,0.2364185110663984,0.7596537949400799,0.7850549450549451,0.8373983739837398,0.692547969656403,0.8181818181818182,0.8558034270934367,2
Isaiah Thomas,BOS,PG,0.38095238095238093,0.8737864077669902,0.8017241379310345,0.6173333333333333,0.7804878048780489,0.8500000000000001,0.379,0.5979381443298969,0.5815217391304347,0.528,0.624,0.8478260869565218,0.7798165137614678,0.909,0.15,0.22105263157894736,0.2109375,0.5267857142857143,0.45,0.07692307692307693,0.4912280701754385,0.5641025641025642,0.9140127388535031,0.925,0.8876404494382023,0.8675213675213675,0.003018108651911433,0.5612516644474035,0.46197802197802196,0.7195121951219513,0.5524319500223114,0.7727272727272727,0.21209182023924994,1
Anthony Davis,NO,C,0.19047619047619047,1.0,0.8405172413793105,0.6733333333333333,0.12195121951219513,0.18000000000000002,0.299,1.0,0.9999999999999998,0.524,0.592,0.7500000000000001,0.7889908256880733,0.802,0.575,1.0,0.921875,0.1875,0.65,0.8461538461538461,0.42105263157894735,0.5641025641025642,0.8853503184713376,0.9125,0.9522471910112362,0.41709401709401706,0.7867203219315896,0.7290279627163783,0.6650549450549451,0.8455284552845528,0.5680499776885317,0.4696969696969697,0.7141933397995474,2
DeMarcus Cousins,NO/SAC,C,0.3333333333333335,0.8737864077669902,0.8232758620689655,0.6026666666666667,0.4390243902439025,0.5,0.361,0.7422680412371134,0.7934782608695651,0.483,0.5691428571428571,0.7826086956521741,0.8532110091743119,0.772,0.525,0.9368421052631579,0.859375,0.4107142857142857,0.7,0.5,0.6491228070175439,1.0,0.8535031847133758,0.875,0.8988764044943822,0.6829059829059829,0.45875251509054327,0.7190412782956059,0.596923076923077,0.7886178861788619,0.43061133422579223,0.4545454545454546,0.5473650177820886,2
Damian Lillard,POR,PG,0.3333333333333335,0.854368932038835,0.8189655172413794,0.592,0.7073170731707318,0.77,0.37,0.6185567010309279,0.6467391304347825,0.4920000000000001,0.5897142857142857,0.7065217391304348,0.6697247706422017,0.895,0.15,0.4526315789473684,0.3828125,0.5267857142857143,0.45,0.11538461538461536,0.45614035087719296,0.5128205128205129,0.8535031847133758,0.9125,0.9466292134831462,0.7743589743589743,0.244466800804829,0.648468708388815,0.5731868131868133,0.7113821138211383,0.5452922802320397,0.5757575757575758,0.7856450048496604,2
LeBron James,CLE,SF,0.6190476190476191,0.9611650485436893,0.7500000000000001,0.7306666666666666,0.41463414634146345,0.45999999999999996,0.363,0.8556701030927837,0.7228260869565216,0.611,0.6788571428571428,0.5217391304347826,0.6605504587155963,0.674,0.325,0.7684210526315789,0.671875,0.7767857142857142,0.6,0.23076923076923073,0.719298245614035,0.4615384615384616,0.8343949044585987,0.9,1.0000000000000002,0.9333333333333333,0.5885311871227364,1.0,1.0,0.8089430894308943,0.48728246318607704,0.7727272727272727,1.0,2
Kawhi Leonard,SA,SF,0.2857142857142858,0.8349514563106796,0.7284482758620691,0.6466666666666666,0.48780487804878053,0.52,0.38,0.6804123711340206,0.6684782608695651,0.529,0.6182857142857143,0.6847826086956522,0.6605504587155963,0.88,0.275,0.49473684210526314,0.453125,0.3125,0.9,0.26923076923076916,0.3684210526315789,0.41025641025641035,0.8057324840764332,0.9,0.8764044943820226,0.8769230769230769,0.5201207243460765,0.9107856191744341,0.7846153846153846,0.7723577235772358,0.37170905845604674,0.8181818181818182,0.5693501454898157,2
Stephen Curry,GS,PG,0.4285714285714286,0.8252427184466019,0.7543103448275863,0.624,1.0,1.0,0.411,0.45360824742268047,0.4402173913043478,0.537,0.6628571428571428,0.44565217391304346,0.4220183486238531,0.898,0.2,0.3894736842105263,0.3515625,0.5892857142857143,0.9,0.07692307692307693,0.5263157894736842,0.5897435897435898,0.7993630573248408,0.9625,0.8764044943820226,1.0,0.4084507042253521,0.9327563249001332,0.9283516483516484,0.6788617886178862,0.7862561356537259,0.9848484848484849,0.3905593275137407,2
Kyrie Irving,CLE,PG,0.23809523809523814,0.9029126213592233,0.8146551724137931,0.6306666666666666,0.6097560975609757,0.61,0.401,0.7113402061855671,0.7282608695652172,0.505,0.6114285714285714,0.44565217391304346,0.4220183486238531,0.905,0.175,0.2631578947368421,0.25,0.5178571428571429,0.6,0.11538461538461536,0.43859649122807015,0.5641025641025642,0.7961783439490445,0.875,0.9241573033707867,0.7504273504273504,0.16297786720321936,0.5758988015978695,0.46593406593406594,0.6138211382113822,0.520303435966087,0.7121212121212122,0.5693501454898157,2
Kevin Durant,GS,SF,0.4285714285714286,0.8640776699029127,0.6767241379310346,0.716,0.4634146341463415,0.5,0.375,0.7216494845360826,0.6141304347826085,0.608,0.6788571428571428,0.5869565217391305,0.5688073394495412,0.875,0.15,0.7999999999999999,0.6484375,0.42857142857142855,0.55,0.6153846153846154,0.3859649122807018,0.4871794871794872,0.7929936305732485,0.75,0.8764044943820226,0.7555555555555555,0.5281690140845071,0.8215712383488682,0.64,0.8211382113821138,0.7251227130745197,0.7727272727272727,0.8558034270934367,2
Karl-Anthony Towns,MIN,C,0.09523809523809534,0.9514563106796117,0.7413793103448277,0.7226666666666667,0.29268292682926833,0.34,0.3670000000000001,0.8762886597938145,0.7880434782608694,0.5820000000000001,0.6582857142857144,0.4673913043478261,0.4770642201834862,0.8320000000000001,0.9,0.9157894736842104,0.9609375,0.2410714285714286,0.35,0.5,0.45614035087719296,0.7435897435897436,0.7929936305732485,1.0000000000000002,0.9775280898876406,0.6811965811965812,0.2525150905432596,0.5812250332889481,0.5415384615384616,0.7601626016260163,0.4301651048638999,0.4696969696969697,0.1917232460394439,1
Jimmy Butler,CHI,SF,0.38095238095238093,0.7281553398058253,0.6767241379310346,0.6066666666666667,0.29268292682926833,0.33,0.3670000000000001,0.6494845360824743,0.7065217391304346,0.477,0.5622857142857144,0.8369565217391305,0.8165137614678899,0.865,0.425,0.47368421052631576,0.484375,0.4910714285714286,0.95,0.15384615384615385,0.3684210526315789,0.3846153846153847,0.7547770700636942,0.925,0.9775280898876406,0.7905982905982907,0.5754527162977867,0.8801597869507325,0.8646153846153848,0.7317073170731707,0.46050870147255685,0.6060606060606061,0.5664403491755577,2
Paul George,IND,SF,0.3333333333333335,0.8058252427184467,0.7413793103448277,0.6146666666666667,0.6341463414634148,0.66,0.393,0.5876288659793815,0.608695652173913,0.501,0.6102857142857143,0.48913043478260876,0.4587155963302752,0.898,0.2,0.6105263157894736,0.515625,0.29464285714285715,0.8,0.15384615384615385,0.5087719298245613,0.6923076923076924,0.7484076433121019,0.9125,0.9466292134831462,0.6068376068376068,0.3853118712273642,0.611185086551265,0.5292307692307693,0.6178861788617886,0.4761267291387772,0.5909090909090909,0.5910119624959586,2
Andrew Wiggins,MIN,SF,0.09523809523809534,0.8349514563106796,0.788793103448276,0.6026666666666667,0.3170731707317074,0.35000000000000003,0.35600000000000004,0.7628865979381444,0.8369565217391303,0.473,0.553142857142857,0.5434782608695653,0.6055045871559632,0.76,0.3,0.29473684210526313,0.3125,0.20535714285714285,0.5,0.15384615384615385,0.4035087719298245,0.5641025641025642,0.7452229299363058,1.0000000000000002,0.9831460674157306,0.5119658119658119,0.07645875251509054,0.33288948069241014,0.23120879120879123,0.45121951219512196,0.45069165551093304,0.4696969696969697,0.19333979954736502,1
Kemba Walker,CHA,PG,0.3333333333333335,0.7864077669902912,0.7543103448275863,0.592,0.7317073170731708,0.76,0.399,0.5257731958762887,0.5706521739130433,0.476,0.6022857142857143,0.41304347826086957,0.4128440366972477,0.847,0.15,0.34736842105263155,0.3046875,0.4910714285714286,0.55,0.11538461538461536,0.3684210526315789,0.3846153846153847,0.732484076433121,0.9625,0.912921348314607,0.7145299145299145,0.26861167002012076,0.6178428761651132,0.5393406593406593,0.6219512195121951,0.4788041053101293,0.5454545454545454,0.3870029097963143,2
Bradley Beal,WSH,SG,0.19047619047619047,0.8058252427184467,0.706896551724138,0.6426666666666666,0.7073170731707318,0.7200000000000001,0.404,0.5567010309278352,0.5326086956521738,0.5379999999999999,0.6468571428571429,0.4021739130434783,0.40366972477064217,0.825,0.175,0.2526315789473684,0.2421875,0.3125,0.55,0.11538461538461536,0.3508771929824561,0.5641025641025642,0.7292993630573249,0.9375,0.9185393258426968,0.6598290598290598,0.289738430583501,0.5892143808255659,0.5090109890109891,0.5487804878048781,0.5644801427933959,0.7272727272727273,0.7141933397995474,2
John Wall,WSH,PG,0.3333333333333335,0.8058252427184467,0.7586206896551725,0.6013333333333333,0.26829268292682934,0.35000000000000003,0.327,0.7422680412371134,0.7989130434782608,0.48,0.5508571428571428,0.5869565217391305,0.6238532110091742,0.8009999999999999,0.2,0.3578947368421052,0.328125,0.9553571428571428,1.0,0.23076923076923073,0.719298245614035,0.4871794871794872,0.7292993630573249,0.9500000000000001,0.960674157303371,0.6794871794871795,0.26760563380281693,0.5898801597869507,0.5371428571428573,0.6869918699186992,0.6073181615350287,0.7272727272727273,0.5473650177820886,2
Giannis Antetokounmpo,MIL,SF,0.1428571428571428,0.7961165048543688,0.6422413793103449,0.6946666666666667,0.14634146341463417,0.22999999999999998,0.272,0.7835051546391752,0.7228260869565216,0.563,0.6182857142857143,0.641304347826087,0.7064220183486238,0.77,0.45,0.7368421052631579,0.6875,0.4821428571428572,0.8,0.7307692307692306,0.5087719298245613,0.794871794871795,0.7229299363057324,0.975,0.9382022471910114,0.5794871794871794,0.5814889336016097,0.7197070572569908,0.6734065934065935,0.7804878048780488,0.40160642570281135,0.6363636363636364,0.09602327837051407,1
Carmelo Anthony,NY,SF,0.6190476190476191,0.7864077669902912,0.7758620689655173,0.5773333333333333,0.48780487804878053,0.5700000000000001,0.359,0.6288659793814433,0.7010869565217389,0.466,0.5577142857142857,0.44565217391304346,0.4495412844036697,0.833,0.2,0.5368421052631578,0.4609375,0.25892857142857145,0.4,0.1923076923076923,0.3684210526315789,0.6923076923076924,0.7070063694267515,0.9,0.901685393258427,0.5384615384615384,0.2183098591549296,0.4474034620505992,0.3331868131868132,0.5447154471544715,0.4917447568049975,0.4393939393939394,0.7930811509860975,2
Klay Thompson,GS,SG,0.3333333333333335,0.8058252427184467,0.7241379310344829,0.624,0.8292682926829269,0.8300000000000001,0.414,0.4948453608247423,0.49456521739130427,0.516,0.6457142857142856,0.2608695652173913,0.2568807339449541,0.853,0.15,0.3157894736842105,0.2890625,0.1875,0.4,0.1923076923076923,0.2807017543859649,0.4615384615384616,0.7038216560509555,0.9500000000000001,0.8932584269662923,0.6162393162393163,0.34909456740442657,0.5945406125166445,0.5208791208791209,0.508130081300813,0.6555109326193667,1.0,0.5376656967345619,2
Devin Booker,PHX,SG,0.04761904761904767,0.7572815533980582,0.7543103448275863,0.564,0.4634146341463415,0.52,0.363,0.6082474226804124,0.7065217391304346,0.447,0.5428571428571428,0.5108695652173914,0.5229357798165137,0.8320000000000001,0.15,0.2736842105263158,0.25,0.30357142857142855,0.45,0.11538461538461536,0.543859649122807,0.794871794871795,0.6974522292993631,0.9500000000000001,0.9213483146067417,0.488034188034188,0.13480885311871227,0.35286284953395475,0.24659340659340662,0.426829268292683,0.7211066488174924,0.36363636363636365,0.07080504364694472,1
Gordon Hayward,UTAH,SF,0.3333333333333335,0.7281553398058253,0.6465517241379312,0.6279999999999999,0.48780487804878053,0.51,0.398,0.5567010309278352,0.5706521739130433,0.506,0.6125714285714285,0.5434782608695653,0.5412844036697247,0.8440000000000001,0.175,0.49473684210526314,0.421875,0.3125,0.5,0.11538461538461536,0.3333333333333333,0.41025641025641035,0.6910828025477707,0.8875000000000001,0.907303370786517,0.6470085470085469,0.38631790744466804,0.6431424766977364,0.5173626373626374,0.7073170731707318,0.2668451584114231,0.696969696969697,0.5185903653410927,2
Blake Griffin,LAC,PF,0.38095238095238093,0.7669902912621359,0.6508620689655173,0.6573333333333333,0.14634146341463417,0.19,0.336,0.7422680412371134,0.7554347826086955,0.514,0.5862857142857143,0.5652173913043479,0.6330275229357798,0.76,0.45,0.6631578947368421,0.6328125,0.43750000000000006,0.45,0.15384615384615385,0.4035087719298245,0.6666666666666667,0.6815286624203822,0.7375,0.8932584269662923,0.6367521367521367,0.47082494969818917,0.6910785619174434,0.5063736263736264,0.6829268292682926,0.5020080321285136,0.6060606060606061,0.6501778208858713,2
Eric Bledsoe,PHX,PG,0.38095238095238093,0.6601941747572815,0.6422413793103449,0.5786666666666667,0.39024390243902446,0.47000000000000003,0.335,0.5360824742268042,0.5869565217391303,0.477,0.5542857142857143,0.641304347826087,0.6330275229357798,0.847,0.2,0.431578947368421,0.375,0.5625,0.7,0.1923076923076923,0.5964912280701754,0.6410256410256411,0.6656050955414013,0.8,0.8651685393258428,0.5777777777777777,0.329979879275654,0.551930758988016,0.40307692307692305,0.6382113821138211,0.6974564926372158,0.33333333333333337,0.4516650501131588,2
